filename, language, C#, JSON, ShaderLab, HLSL, XML, comment, blank, total
Assets\InControl\Source\Unity\DeviceProfiles\GenericAndroidProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\GenericBlackberryProfile.cs, C#, 142, 0, 0, 0, 0, 1, 8, 151
Assets\InControl\Source\Unity\DeviceProfiles\GenericLinuxProfile.cs, C#, 141, 0, 0, 0, 0, 1, 9, 151
Assets\InControl\Source\Unity\DeviceProfiles\GoogleNexusPlayerProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\GoogleNexusPlayerRemoteProfile.cs, C#, 63, 0, 0, 0, 0, 0, 7, 70
Assets\InControl\Source\Unity\DeviceProfiles\GreenThrottleAtlasAndroidProfile.cs, C#, 130, 0, 0, 0, 0, 1, 8, 139
Assets\InControl\Source\Unity\DeviceProfiles\HamaBlackForceWinProfile.cs, C#, 135, 0, 0, 0, 0, 1, 9, 145
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF310LinuxProfile.cs, C#, 136, 0, 0, 0, 0, 1, 9, 146
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF310ModeDMacProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF310ModeDWinProfile.cs, C#, 136, 0, 0, 0, 0, 1, 8, 145
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF310ModeXMacProfile.cs, C#, 134, 0, 0, 0, 0, 1, 8, 143
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF310ModeXWinProfile.cs, C#, 140, 0, 0, 0, 0, 1, 8, 149
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF510LinuxProfile.cs, C#, 136, 0, 0, 0, 0, 1, 9, 146
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF510WinProfile.cs, C#, 140, 0, 0, 0, 0, 1, 8, 149
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF710LinuxProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF710MacProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF710ModeDWinProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\LogitechF710ModeXWinProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\LogitechRumblePad2MacProfile.cs, C#, 122, 0, 0, 0, 0, 1, 9, 132
Assets\InControl\Source\Unity\DeviceProfiles\LogitechRumblePad2WinProfile.cs, C#, 127, 0, 0, 0, 0, 1, 9, 137
Assets\InControl\Source\Unity\DeviceProfiles\LogitechWingManWinProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\MaxFireBlaze5WinProfile.cs, C#, 139, 0, 0, 0, 0, 1, 8, 148
Assets\InControl\Source\Unity\DeviceProfiles\MogaProLinuxProfile.cs, C#, 131, 0, 0, 0, 0, 1, 10, 142
Assets\InControl\Source\Unity\DeviceProfiles\MogaProMacProfile.cs, C#, 140, 0, 0, 0, 0, 1, 9, 150
Assets\InControl\Source\Unity\DeviceProfiles\MogaProWinProfile.cs, C#, 140, 0, 0, 0, 0, 1, 8, 149
Assets\InControl\Source\Unity\DeviceProfiles\NVidiaShieldAndroidProfile.cs, C#, 133, 0, 0, 0, 0, 7, 9, 149
Assets\InControl\Source\Unity\DeviceProfiles\NVidiaShieldWinProfile.cs, C#, 146, 0, 0, 0, 0, 1, 8, 155
Assets\InControl\Source\Unity\DeviceProfiles\NatecGenesisP44WinProfile.cs, C#, 140, 0, 0, 0, 0, 1, 8, 149
Assets\InControl\Source\Unity\DeviceProfiles\OuyaLinuxProfile.cs, C#, 140, 0, 0, 0, 0, 1, 10, 151
Assets\InControl\Source\Unity\DeviceProfiles\OuyaWinProfile.cs, C#, 142, 0, 0, 0, 0, 1, 9, 152
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation2WinProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation3AndroidProfile.cs, C#, 142, 0, 0, 0, 0, 1, 9, 152
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation3LinuxProfile.cs, C#, 132, 0, 0, 0, 0, 1, 9, 142
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation3MacProfile.cs, C#, 131, 0, 0, 0, 0, 1, 8, 140
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation3ShenghicWinProfile.cs, C#, 130, 0, 0, 0, 0, 1, 8, 139
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation3WinProfile.cs, C#, 150, 0, 0, 0, 0, 1, 8, 159
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation4AndroidProfile.cs, C#, 139, 0, 0, 0, 0, 2, 8, 149
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation4LinuxProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation4MacBTProfile.cs, C#, 179, 0, 0, 0, 0, 3, 10, 192
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation4MacUSBProfile.cs, C#, 149, 0, 0, 0, 0, 1, 8, 158
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation4Profile.cs, C#, 131, 0, 0, 0, 0, 1, 8, 140
Assets\InControl\Source\Unity\DeviceProfiles\PlayStation4WinProfile.cs, C#, 151, 0, 0, 0, 0, 1, 8, 160
Assets\InControl\Source\Unity\DeviceProfiles\PlayStationVitaPSMProfile.cs, C#, 118, 0, 0, 0, 0, 1, 7, 126
Assets\InControl\Source\Unity\DeviceProfiles\SamsungGP20AndroidProfile.cs, C#, 115, 0, 0, 0, 0, 1, 8, 124
Assets\InControl\Source\Unity\DeviceProfiles\SpeedlinkStrikeMacProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\SpeedlinkStrikeWinProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\DeviceProfiles\SteelSeriesFreeLinuxProfile.cs, C#, 116, 0, 0, 0, 0, 1, 9, 126
Assets\InControl\Source\Unity\DeviceProfiles\SteelSeriesFreeMacProfile.cs, C#, 141, 0, 0, 0, 0, 1, 8, 150
Assets\InControl\Source\Unity\DeviceProfiles\SteelSeriesFreeWinProfile.cs, C#, 140, 0, 0, 0, 0, 1, 8, 149
Assets\InControl\Source\Unity\DeviceProfiles\ValveStreamingWinProfile.cs, C#, 140, 0, 0, 0, 0, 1, 8, 149
Assets\InControl\Source\Unity\DeviceProfiles\Xbox360AndroidProfile.cs, C#, 136, 0, 0, 0, 0, 1, 9, 146
Assets\InControl\Source\Unity\DeviceProfiles\Xbox360LinuxProfile.cs, C#, 165, 0, 0, 0, 0, 1, 10, 176
Assets\InControl\Source\Unity\DeviceProfiles\Xbox360MacProfile.cs, C#, 139, 0, 0, 0, 0, 1, 9, 149
Assets\InControl\Source\Unity\DeviceProfiles\Xbox360WinProfile.cs, C#, 164, 0, 0, 0, 0, 1, 9, 174
Assets\InControl\Source\Unity\DeviceProfiles\XboxOneMacProfile.cs, C#, 136, 0, 0, 0, 0, 1, 8, 145
Assets\InControl\Source\Unity\DeviceProfiles\XboxOneProfile.cs, C#, 141, 0, 0, 0, 0, 1, 8, 150
Assets\InControl\Source\Unity\DeviceProfiles\XboxOneWinProfile.cs, C#, 135, 0, 0, 0, 0, 1, 8, 144
Assets\InControl\Source\Unity\UnityInputDevice.cs, C#, 114, 0, 0, 0, 0, 3, 32, 149
Assets\InControl\Source\Unity\UnityInputDeviceManager.cs, C#, 199, 0, 0, 0, 0, 6, 44, 249
Assets\InControl\Source\Unity\UnityInputDeviceProfile.cs, C#, 228, 0, 0, 0, 0, 0, 67, 295
Assets\InControl\Source\Unity\UnityInputDeviceProfileList.cs, C#, 76, 0, 0, 0, 0, 0, 2, 78
Assets\InControl\Source\Unity\UnityUnknownDeviceProfile.cs, C#, 46, 0, 0, 0, 0, 0, 10, 56
Assets\InControl\Source\Utility\SingletonMonoBehavior.cs, C#, 31, 0, 0, 0, 0, 0, 6, 37
Assets\InControl\Source\Utility\Utility.cs, C#, 123, 0, 0, 0, 0, 0, 30, 153
Assets\InControl\Source\VersionInfo.cs, C#, 104, 0, 0, 0, 0, 0, 30, 134
Assets\InControl\Source\XInput\XInputDevice.cs, C#, 79, 0, 0, 0, 0, 0, 29, 108
Assets\InControl\Source\XInput\XInputDeviceManager.cs, C#, 85, 0, 0, 0, 0, 1, 18, 104
Assets\InControl\Source\XInput\XInputDotNetPure\GamePad.cs, C#, 296, 0, 0, 0, 0, 0, 91, 387
Assets\InControl\Source\XInput\XInputDotNetPure\Utils.cs, C#, 81, 0, 0, 0, 0, 1, 19, 101
Assets\Scripts\AI\AIAgent.cs, C#, 1008, 0, 0, 0, 0, 142, 343, 1493
Assets\Scripts\AI\AIAlpha.cs, C#, 225, 0, 0, 0, 0, 18, 64, 307
Assets\Scripts\AI\AirductPlacement.cs, C#, 19, 0, 0, 0, 0, 0, 8, 27
Assets\Scripts\AI\AudioTriggerTest.cs, C#, 18, 0, 0, 0, 0, 2, 10, 30
Assets\Scripts\AI\PatrolPath.cs, C#, 35, 0, 0, 0, 0, 0, 10, 45
Assets\Scripts\AI\PatrolPathManager.cs, C#, 36, 0, 0, 0, 0, 0, 15, 51
Assets\Scripts\AI\StabilizeCamera.cs, C#, 11, 0, 0, 0, 0, 0, 3, 14
Assets\Scripts\AI\SurveillanceArea.cs, C#, 17, 0, 0, 0, 0, 0, 4, 21
Assets\Scripts\AI\SurveillanceRoomAgent.cs, C#, 117, 0, 0, 0, 0, 11, 36, 164
Assets\Scripts\AgentBehaviour.cs, C#, 25, 0, 0, 0, 0, 22, 12, 59
Assets\Scripts\AnimatorTest.cs, C#, 22, 0, 0, 0, 0, 2, 8, 32
Assets\Scripts\BreathActivator.cs, C#, 39, 0, 0, 0, 0, 1, 16, 56
Assets\Scripts\CameraFollow.cs, C#, 133, 0, 0, 0, 0, 5, 54, 192
Assets\Scripts\Checkpoint.cs, C#, 12, 0, 0, 0, 0, 0, 4, 16
Assets\Scripts\CloseUpObject.cs, C#, 35, 0, 0, 0, 0, 0, 19, 54
Assets\Scripts\CollectableItem.cs, C#, 14, 0, 0, 0, 0, 0, 5, 19
Assets\Scripts\CopyRotation.cs, C#, 28, 0, 0, 0, 0, 1, 10, 39
Assets\Scripts\CrawlSpaceEntrance.cs, C#, 17, 0, 0, 0, 0, 0, 6, 23
Assets\Scripts\DarkAmbient.cs, C#, 23, 0, 0, 0, 0, 1, 8, 32
Assets\Scripts\DarkAmbientActivator.cs, C#, 6, 0, 0, 0, 0, 0, 2, 8
Assets\Scripts\DecayTimer.cs, C#, 66, 0, 0, 0, 0, 4, 21, 91
Assets\Scripts\DisableOnStart.cs, C#, 15, 0, 0, 0, 0, 1, 5, 21
Assets\Scripts\Editor\PlayFromHereInitData.cs, C#, 133, 0, 0, 0, 0, 12, 21, 166
Assets\Scripts\Elevator.cs, C#, 125, 0, 0, 0, 0, 6, 46, 177
Assets\Scripts\ElevatorButton.cs, C#, 37, 0, 0, 0, 0, 0, 11, 48
Assets\Scripts\ElevatorDoors.cs, C#, 20, 0, 0, 0, 0, 0, 6, 26
Assets\Scripts\ElevatorIndicator.cs, C#, 15, 0, 0, 0, 0, 0, 4, 19
Assets\Scripts\EnemyAnimationEvents.cs, C#, 85, 0, 0, 0, 0, 0, 24, 109
Assets\Scripts\FreeLookCamera.cs, C#, 21, 0, 0, 0, 0, 2, 14, 37
Assets\Scripts\GameplayCanvas.cs, C#, 62, 0, 0, 0, 0, 0, 17, 79
Assets\Scripts\GlassReflector.cs, C#, 20, 0, 0, 0, 0, 1, 10, 31
Assets\Scripts\GuardVision.cs, C#, 84, 0, 0, 0, 0, 0, 28, 112
Assets\Scripts\InteractUIManager.cs, C#, 161, 0, 0, 0, 0, 1, 38, 200
Assets\Scripts\Interactable.cs, C#, 13, 0, 0, 0, 0, 0, 7, 20
Assets\Scripts\InteractableDrawer.cs, C#, 36, 0, 0, 0, 0, 0, 15, 51
Assets\Scripts\Intermission.cs, C#, 50, 0, 0, 0, 0, 1, 23, 74
Assets\Scripts\Inventory.cs, C#, 114, 0, 0, 0, 0, 0, 32, 146
Assets\Scripts\Item.cs, C#, 11, 0, 0, 0, 0, 0, 7, 18
Assets\Scripts\KeycardReader.cs, C#, 23, 0, 0, 0, 0, 1, 9, 33
Assets\Scripts\Keypad.cs, C#, 69, 0, 0, 0, 0, 1, 16, 86
Assets\Scripts\KeypadButton.cs, C#, 44, 0, 0, 0, 0, 0, 20, 64
Assets\Scripts\LastNotesMusic.cs, C#, 35, 0, 0, 0, 0, 1, 12, 48
Assets\Scripts\MainMenuAnimator.cs, C#, 42, 0, 0, 0, 0, 2, 24, 68
Assets\Scripts\MainMenuUI.cs, C#, 61, 0, 0, 0, 0, 0, 18, 79
Assets\Scripts\MovingDoor.cs, C#, 97, 0, 0, 0, 0, 4, 34, 135
Assets\Scripts\MyInputManager.cs, C#, 149, 0, 0, 0, 0, 0, 32, 181
Assets\Scripts\OperatingTable.cs, C#, 28, 0, 0, 0, 0, 0, 10, 38
Assets\Scripts\OperatingTableLoop.cs, C#, 38, 0, 0, 0, 0, 0, 9, 47
Assets\Scripts\OutdoorManager.cs, C#, 110, 0, 0, 0, 0, 0, 41, 151
Assets\Scripts\OverTheShoulder.cs, C#, 19, 0, 0, 0, 0, 5, 4, 28
Assets\Scripts\Phone.cs, C#, 24, 0, 0, 0, 0, 0, 10, 34
Assets\Scripts\Player.cs, C#, 790, 0, 0, 0, 0, 42, 236, 1068
Assets\Scripts\PlayerAnimationEvents.cs, C#, 136, 0, 0, 0, 0, 0, 35, 171
Assets\Scripts\PlayerBehaviour.cs, C#, 32, 0, 0, 0, 0, 22, 12, 66
Assets\Scripts\PowerSwitch.cs, C#, 29, 0, 0, 0, 0, 1, 18, 48
Assets\Scripts\RestrictedAreaManager.cs, C#, 21, 0, 0, 0, 0, 0, 7, 28
Assets\Scripts\ScreenShotCamera.cs, C#, 26, 0, 0, 0, 0, 1, 7, 34
Assets\Scripts\SecretAreaTrigger.cs, C#, 76, 0, 0, 0, 0, 0, 26, 102
Assets\Scripts\SecretDoorSwitch.cs, C#, 18, 0, 0, 0, 0, 0, 7, 25
Assets\Scripts\SecretMusic.cs, C#, 35, 0, 0, 0, 0, 1, 12, 48
Assets\Scripts\Shaders\CRTEffect.cs, C#, 39, 0, 0, 0, 0, 0, 5, 44
Assets\Scripts\Shaders\CRTShader.shader, ShaderLab, 0, 0, 62, 0, 0, 1, 13, 76
Assets\Scripts\Shaders\ContrastEffect.cs, C#, 37, 0, 0, 0, 0, 0, 6, 43
Assets\Scripts\Shaders\ContrastShader.shader, ShaderLab, 0, 0, 48, 0, 0, 1, 8, 57
Assets\Scripts\Shaders\Dissolve 1.shader, ShaderLab, 0, 0, 70, 0, 0, 3, 15, 88
Assets\Scripts\Shaders\DoubleSided.shader, ShaderLab, 0, 0, 34, 0, 0, 8, 7, 49
Assets\Scripts\Shaders\GlitchEffect.cs, C#, 75, 0, 0, 0, 0, 1, 17, 93
Assets\Scripts\Shaders\GlitchShader.shader, ShaderLab, 0, 0, 55, 0, 0, 1, 19, 75
Assets\Scripts\Shaders\GuardVision.shader, ShaderLab, 0, 0, 53, 0, 0, 1, 10, 64
Assets\Scripts\Shaders\GuardVisionEffect.cs, C#, 46, 0, 0, 0, 0, 0, 10, 56
Assets\Scripts\Shaders\Interact.shader, ShaderLab, 0, 0, 63, 0, 0, 3, 10, 76
Assets\Scripts\Shaders\InverseSphericalDissolve 1.shader, ShaderLab, 0, 0, 51, 0, 0, 6, 10, 67
Assets\Scripts\Shaders\Outline.shader, ShaderLab, 0, 0, 81, 0, 0, 1, 18, 100
Assets\Scripts\Shaders\RetroSize.cs, C#, 65, 0, 0, 0, 0, 15, 15, 95
Assets\Scripts\Shaders\SphericalDissolve.shader, ShaderLab, 0, 0, 51, 0, 0, 6, 10, 67
Assets\Scripts\Shaders\SphericalDissolveEmission.shader, ShaderLab, 0, 0, 51, 0, 0, 6, 10, 67
Assets\Scripts\Shaders\VerticalFog.shader, ShaderLab, 0, 0, 55, 0, 0, 0, 16, 71
Assets\Scripts\Shaders\fog.shader, ShaderLab, 0, 0, 24, 0, 0, 0, 0, 24
Assets\Scripts\SimpleMovement.cs, C#, 23, 0, 0, 0, 0, 2, 12, 37
Assets\Scripts\SoundEngine.cs, C#, 60, 0, 0, 0, 0, 3, 19, 82
Assets\Scripts\SphereMaskController.cs, C#, 13, 0, 0, 0, 0, 0, 3, 16
Assets\Scripts\UIVideo.cs, C#, 24, 0, 0, 0, 0, 1, 0, 25
Assets\Scripts\VictoryVision.cs, C#, 44, 0, 0, 0, 0, 1, 20, 65
Assets\Scripts\VirtualCursor.cs, C#, 48, 0, 0, 0, 0, 2, 23, 73
Assets\Scripts\VisionAnimator.cs, C#, 79, 0, 0, 0, 0, 2, 25, 106
Assets\Scripts\Water.cs, C#, 79, 0, 0, 0, 0, 1, 9, 89
Assets\Scripts\WindowCleanerElevator.cs, C#, 110, 0, 0, 0, 0, 0, 46, 156
Assets\Scripts\firstPersonCamera.cs, C#, 113, 0, 0, 0, 0, 3, 30, 146
Assets\Shared\Ramps\Editor\RampAssetEditor.cs, C#, 31, 0, 0, 0, 0, 0, 3, 34
Assets\Shared\Ramps\Runtime\RampAsset.cs, C#, 11, 0, 0, 0, 0, 0, 3, 14
Assets\Shared\Scripts\AdjustTimeScale.cs, C#, 43, 0, 0, 0, 0, 0, 10, 53
Assets\Shared\Scripts\ProximityActivate.cs, C#, 76, 0, 0, 0, 0, 0, 9, 85
Assets\Shared\Scripts\SimpleCameraController.cs, C#, 125, 0, 0, 0, 0, 8, 27, 160
Assets\Shared\Scripts\SimpleCharacterMotor.cs, C#, 66, 0, 0, 0, 0, 0, 11, 77
Assets\Standard Assets\ParticleSystems\Shaders\PriorityParticleAdd.shader, ShaderLab, 0, 0, 88, 0, 0, 3, 15, 106
Assets\Standard Assets\ParticleSystems\Shaders\PriorityParticleAddSoft.shader, ShaderLab, 0, 0, 87, 0, 0, 3, 14, 104
Assets\Standard Assets\ParticleSystems\Shaders\PriorityParticleAlpha.shader, ShaderLab, 0, 0, 88, 0, 0, 3, 15, 106
Assets\TextMesh Pro\Resources\Shaders\TMP_Bitmap-Mobile.shader, ShaderLab, 0, 0, 111, 0, 0, 3, 30, 144
Assets\TextMesh Pro\Resources\Shaders\TMP_Bitmap.shader, ShaderLab, 0, 0, 108, 0, 0, 3, 33, 144
Assets\TextMesh Pro\Resources\Shaders\TMP_SDF Overlay.shader, ShaderLab, 0, 0, 235, 0, 0, 4, 67, 306
Assets\TextMesh Pro\Resources\Shaders\TMP_SDF-Mobile Masking.shader, ShaderLab, 0, 0, 185, 0, 0, 11, 48, 244
Assets\TextMesh Pro\Resources\Shaders\TMP_SDF-Mobile Overlay.shader, ShaderLab, 0, 0, 174, 0, 0, 8, 48, 230
Assets\TextMesh Pro\Resources\Shaders\TMP_SDF-Mobile.shader, ShaderLab, 0, 0, 174, 0, 0, 8, 48, 230
Assets\TextMesh Pro\Resources\Shaders\TMP_SDF-Surface-Mobile.shader, ShaderLab, 0, 0, 101, 0, 0, 8, 28, 137
Assets\TextMesh Pro\Resources\Shaders\TMP_SDF-Surface.shader, ShaderLab, 0, 0, 120, 0, 0, 4, 32, 156
Assets\TextMesh Pro\Resources\Shaders\TMP_SDF.shader, ShaderLab, 0, 0, 235, 0, 0, 4, 67, 306
Assets\TextMesh Pro\Resources\Shaders\TMP_Sprite.shader, ShaderLab, 0, 0, 92, 0, 0, 0, 22, 114
Assets\TextMesh Pro\Resources\Shaders\TMPro.cginc, HLSL, 0, 0, 0, 63, 0, 2, 20, 85
Assets\TextMesh Pro\Resources\Shaders\TMPro_Properties.cginc, HLSL, 0, 0, 0, 61, 0, 10, 14, 85
Assets\TextMesh Pro\Resources\Shaders\TMPro_Surface.cginc, HLSL, 0, 0, 0, 84, 0, 9, 23, 116
Assets\TextMesh Pro\Sprites\EmojiOne.json, JSON, 0, 155, 0, 0, 0, 0, 2, 157
NavMeshComponents.csproj, XML, 0, 0, 0, 0, 323, 7, 2, 332
NavMeshComponentsEditor.csproj, XML, 0, 0, 0, 0, 331, 7, 2, 340
Packages\manifest.json, JSON, 0, 39, 0, 0, 0, 0, 1, 40
Total, -, 20215, 194, 2496, 208, 1887, 1811, 4632, 31443
